transaction_id,date,region,status,amount,currency
absolute_change-history_q4_2025-001,2025-10-01,Harbor,posted,1000.00,EUR
absolute_change-history_q4_2025-002,2025-12-31,Harbor,posted,1000.00,EUR
absolute_change-history_q4_2025-003,2025-10-01,Juniper,posted,450.00,EUR
absolute_change-history_q4_2025-004,2025-12-31,Juniper,posted,450.00,EUR
absolute_change-history_q4_2025-005,2025-10-01,Larch,posted,80.00,EUR
absolute_change-history_q4_2025-006,2025-12-31,Larch,posted,80.00,EUR
absolute_change-history_q4_2025-007,2024-10-01,Harbor,posted,990.00,EUR
absolute_change-history_q4_2025-008,2024-12-31,Harbor,posted,990.00,EUR
absolute_change-history_q4_2025-009,2024-10-01,Juniper,posted,100.00,EUR
absolute_change-history_q4_2025-010,2024-12-31,Juniper,posted,100.00,EUR
absolute_change-history_q4_2025-011,2024-10-01,Larch,posted,5.00,EUR
absolute_change-history_q4_2025-012,2024-12-31,Larch,posted,5.00,EUR
absolute_change-history_q4_2025-013,2025-10-01,Harbor,cancelled,999999.99,EUR
absolute_change-history_q4_2025-014,2024-10-01,Larch,cancelled,888888.88,EUR
absolute_change-history_q4_2025-015,2026-01-01,Harbor,posted,777777.77,EUR
absolute_change-history_q4_2025-016,2025-01-01,Larch,posted,666666.66,EUR
