transaction_id,date,region,status,amount,currency
percentage_change-history_q4_2025-001,2025-10-01,Maple,posted,750.00,EUR
percentage_change-history_q4_2025-002,2025-12-31,Maple,posted,750.00,EUR
percentage_change-history_q4_2025-003,2025-10-01,Quartz,posted,350.00,EUR
percentage_change-history_q4_2025-004,2025-12-31,Quartz,posted,350.00,EUR
percentage_change-history_q4_2025-005,2025-10-01,Willow,posted,60.00,EUR
percentage_change-history_q4_2025-006,2025-12-31,Willow,posted,60.00,EUR
percentage_change-history_q4_2025-007,2024-10-01,Maple,posted,745.00,EUR
percentage_change-history_q4_2025-008,2024-12-31,Maple,posted,745.00,EUR
percentage_change-history_q4_2025-009,2024-10-01,Quartz,posted,100.00,EUR
percentage_change-history_q4_2025-010,2024-12-31,Quartz,posted,100.00,EUR
percentage_change-history_q4_2025-011,2024-10-01,Willow,posted,5.00,EUR
percentage_change-history_q4_2025-012,2024-12-31,Willow,posted,5.00,EUR
percentage_change-history_q4_2025-013,2025-10-01,Maple,cancelled,999999.99,EUR
percentage_change-history_q4_2025-014,2024-10-01,Willow,cancelled,888888.88,EUR
percentage_change-history_q4_2025-015,2026-01-01,Maple,posted,777777.77,EUR
percentage_change-history_q4_2025-016,2025-01-01,Willow,posted,666666.66,EUR
